name,address,phone,email
Automaterialen Ronald Morien B.V.,"Slinke 1, 8637VZ Wiuwert",+31582501444,info@ronald-morien.nl
Autosloperij 'De Nieuwe Haven' BV,"3e Havenarm 21, 1216BD Hilversum",+31356248034,info@denieuwehavenbv.nl
Slootstra's Autosloperij,"De Leijen 49, 8401AZ Gorredijk",+31513461896,N/A
Autosloperij Smulders,"Watermanstraat 8, 5015TE Tilburg",+31134564800,N/A
Adnan Autosloperij,"Kromme Bumperweg 4, 2141DK Vijfhuizen",,N/A
Hijlkema Autodemontage,"Binnenweg 26, 8475EG Nijeholtpade",+31561688234,N/A
Autosloopbedrijf Familie Maris BV,"Gideonweg 7/A, 9723BM Groningen",+31503132524,N/A
Gouwe Autosloperij De,"Henegouwerweg 26, 2741KS Waddinxveen",+31182619876,N/A
Autoh. en -Demontagebedrijf Pijffers BV,"Wijheseweg 65, 8107PJ Broekland",+31572351728,info@pijffers.nl
Van Rijn en Co. BV,"Cannenburgerweg 73, 1244RH Ankeveen",+31356561236,info@fiat-parts.nl
International Motor B.V.,"Aduarderdiepsterweg 8/3, 9745EL Groningen",+31505251904,N/A
Nilles Otto Autosloperij,"De Linie 34, 4614RK Bergen op Zoom",+31164241872,N/A
Autobedrijf De Heer BV,"Rijksstraatweg 92, 3316EH Dordrecht",+31786181293,info@autobedrijfdeheer.nl
Auto- en Demontage De Witte Boerderij,"Radonstraat 10, 6718WS Ede",+31318511139,N/A
Dam Autosloperij J vd,"Oldeberkoperweg 56/A, 8413NZ Oudehorne",+31516451247,N/A
Argos Japanse Auto Onderdelen BV,"Industrieweg 89, 5591JL Heeze",+31402265637,info@argosheeze.nl
H. Schneider Beheer BV,"Rooversbroekdijk 131, 2161LP Lisse",+31252213346,N/A
LUMA B.V.,"Nikkelstraat 31, 8211AJ Lelystad",+31320247149,info@feer.nl
ARN Auto Recycling Nederland B.V.,"De Corridor 5, 3621ZA Breukelen",+31346728220,N/A
Kaaboun Autoservice & Demontage,"Venusweg 9, 8938BC Leeuwarden",+31582898758,N/A
AM Quads,"Nijverheidsweg 11A, 1671GC Medemblik",+31227540052,N/A
Van Deijne onderdelen Uden B.V.,"Kruisweg 1, 5406PB Uden",,info@deijne.nl
Karadeniz Autosloperij,"Achterasweg 9, 2141DG Vijfhuizen",+31235351246,N/A
Netten Autodemontage,"Diezestraat 10, 5347JH Oss",+31412625917,N/A
Van Kessel Autodemontage,"Veeweg 7/A, 6365CV Schinnen",+31464432173,N/A
Autodemontage Poelstra B.V.,"Edisonstraat 21, 8801PN Franeker",+31517383372,N/A
Prescher Autohandel en Autosloperij,"Weidehek 90, 4824AS Breda",+31765418353,N/A
Zanetti Autosloperij VOF,"Trasweg 4, 5712BB Someren",+31493493337,N/A
Autosloperij Ayaz B.V.,"Waalhaven N.z. 31, 3087BH Rotterdam",,N/A
Occasion Center Roosendaal BV,"Vlierwerf 4, 4704SB Roosendaal",+31165544850,info@occasioncenterroosendaal.nl
Autoschadebedrijf Marmara,"Achterasweg 17, 2141DG Vijfhuizen",,N/A
Mercedes Demontage van Schoten,"Feithenhofsweg 8, 8096PB Oldebroek",+31525632975,info@mercedesdemontage.nl
Kuijpers Metaalrecycling B.V.,"Rieten 6, 5986PH Beringe",+31493312764,N/A
Autodemontage Vrijhoeven B.V.,"Industrieweg 11, 5158NJ Heesbeen",+31416662516,info@gebruikteonderdelen.nl
Autodemontage De Kneus,"Spiegelstraat 7, 2631RS Nootdorp",+31703839613,info@autodemontagedekneus.nl
G. en W. Brink Metaal BV,"Oosterwijk WZ 1, 7885TN Nieuw-Dordrecht",+31591630275,N/A
Metaalhandel Franssen B.V.,"Windmolen 7, 6229PN Maastricht",+31434081329,info@metaalhandelfranssenbv.nl
Autosloperij W.G. Jansen BV,"Rijksstraatweg 70, 2241BW Wassenaar",,N/A
Utrecht Autosloperij,"Leptonenweg 6, 3542CJ Utrecht",+31302414428,N/A
Gebr. Opdam BV,"Voorschoterweg 41, 2235SE Valkenburg",+31715315101,info@gebr-opdam.nl
Autodemontagebedrijf Aktas,"Gilze-Rijenstraat 38, 3045PJ Rotterdam",+31104188391,N/A
Autorecycling Bart,"Osdorperweg 487, 1067SR Amsterdam",+31206197647,info@bart-autorecycling.nl
Autobedrijf Fa. Hoogerwerf,"Molenweg 2, 4311AE Bruinisse",,N/A
Fa. Van Heest,"Blauwgras 96, 7623GR Borne",+31742661204,N/A
Autorecycling N. Kossen B.V.,"Oosterweg 2, 1759JB Callantsoog",+31224581215,info@akossen.nl
Bentie's Autodemontage,"Vecht 33, 1703KK Heerhugowaard",+31206133979,N/A
Auto Recycling Langedijk,"Waarddijk Noord 4, 1724PH Oudkarspel",+31226313087,N/A
Autosloperij De Kleine Winst VOF,"Houtlaan 5, 6525ZA Nijmegen",+31243551830,N/A
Boels Autodemontage B.V.,"Beumeesweg 182, 9661AN Alteveer",+31599332216,info@boelsautodemontage.nl
Ommen Autodemontagebedrijf J van,"Deltahoek 4, 4511PA Breskens",+31117383435,N/A
Birkt Autosloperij De,"Kryptonweg 1, 3812RZ Amersfoort",+31334631224,N/A
Auto Samsen B.V.,"Toermalijnstraat 15, 7554TX Hengelo",+31742912912,info@samsen.nl
Mettler B.V.,"Rooiseweg 12, 5481SJ Schijndel",+31735492956,info@mettler.nl
Boortoren Autosloperij De,"Ommelpad 12, 6035PC Ospel",+31495663397,N/A
VOF Ritterbex & Zoon,"Hubert van Doornelaan 29, 6229VJ Maastricht",+31434083562,N/A
Boonstra Autoparts,"Skieppeleane 4, 9247CA Ureterp",+31512301572,info@boekema.schadevoertuigen.nl
Karaman Autosloperij,"Spaarnwouderweg 1175, 2141BN Vijfhuizen",+31235363765,N/A
Van der Feer Autorecycling B.V.,"De Dommel 20, 8253PL Dronten",+31321260260,info@feer.nl
Gebr. Vanweert,"Van Dijkhuizenstraat 12, 3864DV Nijkerkerveen",+31332571705,N/A
Mestebeld Trucks B.V.,"Parallelweg 24, 8152BE Lemelerveld",+31572371791,info@mestebeld.nl
Verweij's Trucking BV,"Lopikerweg oost 64, 3411JH Lopik",+31348553434,info@verweij-trucking.nl
BZJ B.V.,"Rouwenboschweg 19, 6545AE Nijmegen",+31243774663,info@bzj.nl
Schutte Autodemontage,"Kuiperstraat 14, 6243NH Geulle",+31433646233,N/A
G.C.J. Bomers,"Blauwe Hoefsweg 26/G, 4791JD Klundert",+31168404103,N/A
Autosloperij Weteringbrug,"Lisserweg 38, 2156LC Weteringbrug",+31713312622,N/A
W.M. Romein,"Hoofdweg 109, 3067GC Rotterdam",+31104556106,N/A
Rio VOF Autosloperij,"Ambachtsstraat 8, 4538AW Terneuzen",+31115694394,N/A
Rhenoy Holding,"Industrieweg 3, 4181CA Waardenburg",+31418657474,info@rhenoy.nl
Autosloperij Kralingen B.V.,"Hoofdweg 131, 3067GD Rotterdam",+31104213130,info@autosloperijkralingen.nl
Eendracht Autosloperij De,"Bleiswijkseweg 33, 2712PA Zoetermeer",+31793413819,N/A
Knapper Autosloperij J,"Gideonweg 7, 9723BM Groningen",+31503141914,N/A
Rhenoy Onderdelen BV,"Holweistraat 10, 4181CC Waardenburg",+31418657474,info@rhenoy.nl
Autocommerce,"Achterasweg 13, 2141DG Vijfhuizen",+31235338895,N/A
HD Sloperij Feelders (Harley Davidson Specialist),"Fornheselaan 162, 3734GE Den Dolder",+31302288383,N/A
Auto Verschrotings Industrie A.V.I. Den Bosch BV,"Rietveldenkade 1, 5222AJ Den Bosch",+31736216944,info@gerritsrecycling.nl
H Poolen,"Petroleumhavenweg 22, 1041AC Amsterdam",+31206133979,N/A
Autosloperij Delft BV,"Rotterdamseweg 221/A, 2636KC Schipluiden",+31152560014,info@delftbv.nl
Autoparaat,"Achterasweg 16, 2141DG Vijfhuizen",+31235337391,N/A
F.H. Scheffer,"Rudolf Dieselstraat 58, 6229SC Maastricht",+31434081962,N/A
Van Gulik,"H Gerhardstraat 177, 1502CD Zaandam",,N/A
B.G. van de Bunte Holding BV,"Stationsweg 5, 7395SB Teuge",+31553231560,info@vandebunteteuge.nl
Autorecycling Spijkcity B.V.,"Burgemeester de Raadtsingel 93/C, 3311JG Dordrecht",+31181613988,N/A
Feelders Autodemontage,"Fornheselaan 162, 3734GE Den Dolder",+31302292528,N/A
Kleine Staarman Autoplaatwerkhandel,"Kelvinstraat 13, 7575AS Oldenzaal",+31541532372,N/A
Autosloperij Salam,"Spaarnwouderweg 1175, 2141BN Vijfhuizen",+31235359159,N/A
Happy End Autosloperij,"Spaarnwouderweg 1175, 2141BN Vijfhuizen",+31235365342,N/A
AutoHam,"Nijkerkerstraat 27/A, 3821CD Amersfoort",+31332537111,info@autoham.nl
Autodemontagebedrijf E. Kooij,"Waterlooweg 2, 3711BE Austerlitz",+31343491220,info@autodemontagekooy.nl
de Boer auto onderdelen,"Industriestraat 22, 9502EJ Stadskanaal",+31599613237,info@deboerautodemontage.nl
Dide Exportbedrijf BV,"Sluispolderweg 30, 1505HK Zaandam",+31756122372,N/A
A.K. ter Linde,"Hubert van Doornelaan 9, 6229VE Maastricht",+31434081489,N/A
Jansen van Beek Autodemontagebedrijf,"Logistiekweg 10, 6681LS Bemmel",+31262000140,info@jansenvanbeek.nl
Altijd Raak Penders (De) Montage B.V.,"James Wattweg 6, 3133KK Vlaardingen",+31104345506,info@altijdraakpenders.nl
Bladderswijk,"Oosterwijk WZ 19, 7885TN Nieuw-Dordrecht",+31591630551,N/A
Autobedrijf Tijvoort,"Tijvoortsebaan 11, 5051HJ Goirle",+31135346719,info@tijvoort.nl
Autodemontagebedrijf Binckhorst B.V.,"Steenplaetsstraat 5, 2288AA Rijswijk",+31703825164,verkoop@binckhorst.com
Autodemontage Zelissen,"Milieuparkweg 14, 6136KP Sittard",+31464522361,info@autodemontage-zelissen.nl
Autodemontagebedrijf Verberk BV,"Nijverheidsstraat 1/A, 5405AJ Uden",+31413261993,info@verberkautodemontage.nl
Mugro Autosloperij,"Industrieweg 16, 3762EK Soest",+31356011276,N/A
Bongers vd Laar BV,"Kleine Graspeel 19, 5411LA Zeeland",+31486452154,N/A
Automarkt Lotfi,"Spaarnwouderweg 1175, 2141BN Vijfhuizen",+31235365723,N/A
Bliek Autosloperij vd,"Koemeer 2, 5513NS Wintelre",+31402051614,N/A
Car Toyota Onderdelen,"Schoolstraat 44, 3864MH Nijkerkerveen",+31332580858,N/A
Autorecycling Gebroeders Prins Steenwijk BV,"Broekslagen 3/A, 8331TJ Steenwijk",+31521511122,N/A
W. Pater Autohandel en Taxatie,"Stadhouderslaan 123, 3905HC Veenendaal",+31318769209,N/A
Autosloperij Pieper B.V.,"Broekermolenweg 3/A, 3882MG Putten",+31341360300,info@autosloop.com
Gebruikte Auto Onderdelen Service Flevoland,"Betonweg 12, 8305AG Emmeloord",+31527616060,info@gaos.nl
Auto Biermans B.V.,"Rijksweg 24, 6325AE Berg en Terblijt",+31436088000,info@autobiermans.nl
Auto- en Recyclingbedrijf De Zwette,"James Wattstraat 16, 8912AS Leeuwarden",+31582152240,N/A
HY-Cars,"Sluisjesdijk 66, 3087AJ Rotterdam",+31104295011,N/A
Rip's Autosloperij,"Bredeweg 134, 2761KB Zevenhuizen",+31180631695,N/A
Autosloperij AAB,"Wauderickweg 4, 6545CK Nijmegen",,N/A
Maresia Auto Recycling BV,N/A,+31886273742,info@maresia.eu
Geerts Auto-Sloopbedrijf L,"Spaarnwouderweg 1175, 2141BN Vijfhuizen",+31235339553,N/A
Autosloperij Alex van Alles Wat,"Vosheuvelweg 8, 6545AD Nijmegen",+31243776240,N/A
Autosloperij Barth,"Roerstraat 2, 7005BR Doetinchem",+31314326150,N/A
Wolters Sloperij H,"Oosterwijk WZ 23, 7885TN Nieuw-Dordrecht",+31591677125,N/A
Huba Autohandel & Sloperij Fa,"Zuiderweg 2, 1761LM Anna Paulowna",+31224591560,N/A
Autosloperij F. Leeman BV,"Koekoeksedijk 18, 4761PJ Zevenbergen",+31168330241,N/A
Van der Molen,"Wolddiep 4, 9862TH Sebaldeburen",,N/A
Schut Auto Onderdelen,"Industrieweg 29, 3762EH Soest",+31356010668,N/A
Pril Autodemontagebedrijf F J,"Najaarsweg 54, 7532SK Enschede",+31534611110,N/A
Autosloperij De Zaag B.V.,"Zaag 7, 2931LD Krimpen aan de Lek",+31104201897,info@autosloperijdezaag.nl
Autodemontagebedrijf Verhoef,"Rijsbosch 6/a, 4112MC Beusichem",+31345502095,info@autodemontagewaalbeusichem.nl
Autosloperij Stegeman BV,"Exelseweg 25, 7245VD Laren",+31573421372,info@stegemanautosloperij.nl
Autodemontage Breda BV,"Tilburgseweg 269, 4817BD Breda",+31161412867,N/A
Gooi Autosloperij 't,"Statenweg 3, 1213RB Hilversum",+31355772410,N/A
Damen Autosloperij P,"Hellasstraat 14, 5047SK Tilburg",+31135700146,N/A
Onne van de Stadt Recycling BV,"Rijshoutweg 4, 1505HL Zaandam",+31756165272,info@onnevandestadt.nl
Brand Autobedrijf Mercedes Benz BV vd,"Frontstraat 1, 5405AK Uden",+31413750400,N/A
Opbroek Recycling BV,"de Giesel 38, 6081PH Haelen",+31475595290,info@opbroekrecycling.nl
Fieten Autodemontage / Citroën,"De Hanekampen 20/D, 9411XM Beilen",+31593523001,N/A
Timmermans Autosloperij,"Maalbroek 221, 6042KM Roermond",+31475501096,N/A
Autosloperij Hejo BV,"Henri Dunantweg 3, 2411NJ Bodegraven",+31172651163,hejobv@zonnet.nl
Autodemontage Van Bebberen B.V.,"Dijkje 2/a, 4284VN Rijswijk (NB)",+31183441735,N/A
Mullenberg VOF,"Dr. Ir. Van Veenweg 9, 4612PE Bergen op Zoom",+31164245986,N/A
AutoDemontage Hoogeveen,"Fokkerstraat 29, 7903AT Hoogeveen",+31528234648,N/A
Vries L de,"Oudeweg 117, 9608PL Westerbroek",+31504041568,N/A
Vijfschaft M,"Ottostraat 1, 6716BG Ede",+31318635432,N/A
Autohand. & Autodemontagebedr. Helmerich BV,"Tienlingstraat 20, 1507DD Zaandam",+31756310548,info@helmerichtrucks.nl
Auto Recycling Spijkenisse BV,"Lorentzweg 1, 3208LJ Spijkenisse",,N/A
Autosloperij De Sluis,"Heining 41, 1047AZ Amsterdam",+31204972508,N/A
Autodemontage van Spanje BV,"Provincialeweg 49, 4031JM Ingen",+31344691354,info@autodemontagevanspanje.nl
Vos Autodemontage,"Elsenpas 7, 6641KM Beuningen Gld",+31246774921,N/A
Autosloperij Spoorzicht,"Gersteweg 51, 2153GH Nieuw-Vennep",+31252676038,N/A
Van der Iest Kootstertille B.V.,"Westkern 13, 9288CA Kootstertille",,N/A
Autodemontagebedrijf Snuverink B.V.,"Kamerlingh Onnesstraat 15, 7271AZ Borculo",+31545272064,info@autosnuverink.nl
Kleine Staarman Holding B.V.,"Bolscher Landen 12, 7627NP Bornerbroek",+31743841567,N/A
Wilkohaag Metaal BV,"Uitenhagestraat 35, 2571VV Den Haag",+31703603306,N/A
Autobedrijf de Haas BV,"Schoenmakerij 8, 4762AS Zevenbergen",+31168452567,haas.auto@wxs.nl
